handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_214b5648-5385-4694-96fe-05c556db05a1,MEDIA,,,,,,b10e01_ea6ef361968348a994685946f5a5c807~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_8ef1ddbf-f6b6-4671-bb03-7d8d8f3bf810,PRODUCT,Double Hoop Pearl Drop Earrings – 18K Gold Plated Chic Statement Jewelry,true,"<p>Upgrade your style with these chic double hoop pearl drop earrings. Designed with textured hoops and a graceful pearl drop, these earrings offer a perfect blend of modern and classic design. Made from anti-tarnish stainless steel with 18K gold plating, they are ideal for office wear, parties, and everyday elegance.</p>",earrings,earrings,,,,Luxereva,899,1999,,IN_STOCK,false,,,L1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_8ef1ddbf-f6b6-4671-bb03-7d8d8f3bf810,MEDIA,,,,,,b10e01_4252a87f7a154d0baa6fdd82ad500ca8~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_8ef1ddbf-f6b6-4671-bb03-7d8d8f3bf810,MEDIA,,,,,,b10e01_4fe5a14176b24feb8b7e64978c802e54~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ce47f58e-c9b9-4431-97aa-0ee1ecaca98c,PRODUCT,Twisted Crystal Band Ring,false,"<p>A beautifully crafted twisted band adorned with sparkling crystals, designed to add elegance to your everyday look. Perfect for minimal yet classy styling.</p>",,,,,,Luxereva,349,,56.65,IN_STOCK,false,,,L1013,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ce47f58e-c9b9-4431-97aa-0ee1ecaca98c,MEDIA,,,,,,b10e01_6f746d2f812e4c61832ec38431348c47~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_10bcc500-b2b5-44ff-992e-59c491e60f6f,PRODUCT,Classic Solitaire Ring,false,"<p>Timeless and elegant, this solitaire ring features a single dazzling stone that enhances any outfit with effortless sophistication.</p>",,,,,,Luxereva,399,,56.65,IN_STOCK,false,,,L1014,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_10bcc500-b2b5-44ff-992e-59c491e60f6f,MEDIA,,,,,,b10e01_38ba2f0055b24e3898ca27dd464010b8~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_77b84f12-ce79-4e65-a012-dca475e959f1,PRODUCT,Triple Line Statement Ring,false,"<p>Bold and modern, this triple-line ring adds a strong statement to your style. Ideal for those who love standout yet refined jewelry.</p>",,,,,,Luxereva,299,,56.65,IN_STOCK,false,,,L1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_77b84f12-ce79-4e65-a012-dca475e959f1,MEDIA,,,,,,b10e01_574cd94bcf454f37860a8116ffbcd812~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_4995fb4d-62c5-4f61-bc6d-2de2cf43631e,PRODUCT,Infinity Knot Ring,false,"<p>Symbolizing endless love, this infinity knot ring features a sleek and meaningful design, perfect for daily wear or gifting.</p>",,,,,,Luxereva,299,,56.65,IN_STOCK,false,,,L1016,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_4995fb4d-62c5-4f61-bc6d-2de2cf43631e,MEDIA,,,,,,b10e01_7dc31246dad549a1b77177a94eb694c2~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_267c4134-100e-41e7-a83d-66af61c23a01,PRODUCT,Dual Heart Crystal Ring,false,"<p>A romantic design featuring two heart shapes with delicate crystal detailing, perfect for adding a soft feminine touch.</p>",,,,,,Luxereva,349,,56.65,IN_STOCK,false,,,L1017,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_267c4134-100e-41e7-a83d-66af61c23a01,MEDIA,,,,,,b10e01_707bea469eba40bb97bf44536713531b~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f42c6f07-1b64-4a1d-8136-2a74a13c5787,PRODUCT,Bow Knot Crystal Ring,false,"<p>Chic and playful, this bow-shaped ring with embedded crystals brings a cute yet luxurious vibe to your jewelry collection.</p>",,,,,,Luxereva,299,,56.65,IN_STOCK,false,,,L1018,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f42c6f07-1b64-4a1d-8136-2a74a13c5787,MEDIA,,,,,,b10e01_963f350d3cad48be978b769a0cb02d62~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0d01dff5-cbca-407c-987f-d68c5657b5d4,PRODUCT,Floral Crystal Ring,false,"<p>Inspired by blooming flowers, this ring features a delicate floral design with sparkling stones for an elegant finish.</p>",,,,,,Luxereva,349,,56.65,IN_STOCK,false,,,L1019,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0d01dff5-cbca-407c-987f-d68c5657b5d4,MEDIA,,,,,,b10e01_41077fe58d1849bca9eef0e33a465539~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_fb7a2634-0d10-4c9a-a9a6-58850cdfe77a,PRODUCT,Textured Gold Band Ring,false,"<p>A minimal textured band with a subtle shine, perfect for everyday wear and stacking with other rings.</p>",,,,,,Luxereva,399,,56.65,IN_STOCK,false,,,L1020,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_fb7a2634-0d10-4c9a-a9a6-58850cdfe77a,MEDIA,,,,,,b10e01_01dfe10cad6744eb88ca7e4f2de39b64~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d93c21a6-60fe-45fc-9150-e311275bdcc7,PRODUCT,Criss-Cross Spark Ring,false,"<p>This stylish criss-cross ring features a layered design with crystal accents, offering a modern and elegant look.</p>",,,,,,Luxereva,499,,56.65,IN_STOCK,false,,,L1021,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d93c21a6-60fe-45fc-9150-e311275bdcc7,MEDIA,,,,,,b10e01_187ae455d9a34b2490c9875f05ddb43d~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0b18b247-0985-4b6e-83a1-fa035573e32d,PRODUCT,Leaf Curve Ring,false,"<p>Nature-inspired with a graceful leaf pattern, this ring adds a unique and organic touch to your style.</p>",,,,,,Luxereva,299,,56.65,IN_STOCK,false,,,L1022,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_0b18b247-0985-4b6e-83a1-fa035573e32d,MEDIA,,,,,,b10e01_7d470fb8e3004d489618da8ad76bce12~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_fa2081d7-e050-4a6a-b7cc-5179b0d4dc02,PRODUCT,Infinity Twist Ring,false,"<p>A modern take on the infinity design with a twisted finish, giving it a sleek and trendy appeal.</p>",,,,,,Luxereva,349,,56.65,IN_STOCK,false,,,L1023,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_fa2081d7-e050-4a6a-b7cc-5179b0d4dc02,MEDIA,,,,,,b10e01_d3d9ceac690c4087a074668d3a24580c~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d8b23d88-f188-4ee3-b0bf-0f8b9f3bfe90,PRODUCT,Double Loop Statement Ring,false,"<p>Bold and contemporary, this double loop ring is designed to stand out while maintaining a classy gold finish.</p>",,,,,,Luxereva,299,,56.65,IN_STOCK,false,,,L1024,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d8b23d88-f188-4ee3-b0bf-0f8b9f3bfe90,MEDIA,,,,,,b10e01_d6791f051a5447968ab82c0dd01951d1~mv2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1f8fe5b5-a19b-42bf-9a1b-54e9a7f0c889,PRODUCT,Floral Crystal Vine Bracelet – 22K Gold Plated Stainless Steel,true,"<p>Inspired by delicate blooming flowers, this floral vine bracelet features intricate crystal-studded details connected with a graceful gold chain. The centerpiece floral motif adds a luxurious and feminine touch, making it perfect for festive occasions, weddings, or elegant everyday styling. Crafted from high-quality stainless steel with 22K gold plating, it is durable, anti-tarnish, and skin-friendly.</p><p><span style=""font-weight: 700"">Highlights:</span>• Elegant floral design• Premium crystal detailing• Adjustable chain for perfect fit• Ideal for festive &amp; occasion wear</p>",bracelets,bracelets,,,,Luxereva,999,1799,,IN_STOCK,false,,,L1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1f8fe5b5-a19b-42bf-9a1b-54e9a7f0c889,MEDIA,,,,,,b10e01_c4328e385d684aae9d514573fa37c7ee~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_1f8fe5b5-a19b-42bf-9a1b-54e9a7f0c889,MEDIA,,,,,,b10e01_f167641fa1c348f8a4f17cb9901e2832~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_dcd984ee-0cdb-49f9-852e-7c89800159df,PRODUCT,Butterfly Charm Chain Bracelet – 22K Gold Plated Stainless Steel,true,"<p>Add a playful yet elegant charm to your look with this butterfly chain bracelet. Featuring a delicate butterfly centerpiece paired with heart accents and crystal links, this bracelet blends cuteness with sophistication. Made from durable stainless steel with a rich 22K gold finish, it is perfect for daily wear, gifting, or layering with other bracelets.</p><p><span style=""font-weight: 700"">Highlights:</span>• Butterfly &amp; heart charm design• Minimal yet stylish look• Lightweight &amp; comfortable• Perfect for everyday wear</p>",bracelets,bracelets,,,,Luxereva,849,1899,,IN_STOCK,false,,,L1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_dcd984ee-0cdb-49f9-852e-7c89800159df,MEDIA,,,,,,b10e01_a8ed7cf811454f7faed7819acc6d8a21~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_dcd984ee-0cdb-49f9-852e-7c89800159df,MEDIA,,,,,,b10e01_08775167552548a9b6bfa6964472cf43~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b90b00e1-b9bc-4f5a-8a84-0a8d3f00d8dc,PRODUCT,Minimal Gold Chain Pendant – 18K Gold Plated Stainless Steel,true,"<p>Sleek, simple, and timeless — this minimal chain pendant is perfect for everyday elegance. Crafted with premium stainless steel and finished in 18K gold plating, it offers a refined look that pairs effortlessly with any outfit. Lightweight, durable, and anti-tarnish, it’s your go-to daily wear essential.</p>",necklaces,necklaces,,,,Luxereva,849,2499,,IN_STOCK,false,,,L1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b90b00e1-b9bc-4f5a-8a84-0a8d3f00d8dc,MEDIA,,,,,,b10e01_e58a24d9302e4483a551b9b199c4fd57~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b90b00e1-b9bc-4f5a-8a84-0a8d3f00d8dc,MEDIA,,,,,,b10e01_0797bf33294e40f2b6e642f832763008~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b90b00e1-b9bc-4f5a-8a84-0a8d3f00d8dc,MEDIA,,,,,,b10e01_e77b9a82f89c4980a7d96393fea012b7~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e3bad5fb-6081-48c6-a411-bc2e87921de0,PRODUCT,Elegant Heart Charm Pendant – 18K Gold Plated Necklace,true,"<p>A symbol of love and grace, this heart charm pendant adds a soft romantic touch to your jewelry collection. Designed with a smooth gold finish and crafted from stainless steel, it is perfect for gifting or adding charm to your everyday style.</p>",necklaces,necklaces,,,,Luxereva,849,2699,,IN_STOCK,false,,,L1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e3bad5fb-6081-48c6-a411-bc2e87921de0,MEDIA,,,,,,b10e01_d34f3cf8429841c9ae8403825ae07f30~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e3bad5fb-6081-48c6-a411-bc2e87921de0,MEDIA,,,,,,b10e01_b474cc6608524b45800d000054755ec4~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ec490225-1f99-46b8-a94a-075e05819be0,PRODUCT,Swan Drop Gold Pendant – 18K Gold Plated Stainless Steel,false,"<p>Graceful and eye-catching, this swan-inspired drop pendant adds a touch of elegance to your everyday look. Crafted from high-quality stainless steel and finished with luxurious 18K gold plating, it features a delicate crystal accent that catches the light beautifully. Designed to be lightweight, durable, and anti-tarnish, this piece blends sophistication with everyday wearability — perfect for layering or wearing solo as a statement of refined style.</p>",necklaces,necklaces,,,Best Seller,Luxereva,1299,,51.5,IN_STOCK,false,,,L1032,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ec490225-1f99-46b8-a94a-075e05819be0,MEDIA,,,,,,b10e01_0f02727e29c24caa945850344a86c105~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ec490225-1f99-46b8-a94a-075e05819be0,MEDIA,,,,,,b10e01_6fee2c5955a84a38b0641f20aaf0b0d6~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_ec490225-1f99-46b8-a94a-075e05819be0,MEDIA,,,,,,b10e01_546237aee8e14789b37417a16e17a7da~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d62afc26-a981-456a-b366-37eb21ffec11,PRODUCT,Butterfly Heart Gold Pendant – 18K Gold Plated Stainless Steel,true,"<p>Delicate and charming, this butterfly-inspired pendant with a sparkling heart drop brings a touch of romance to your jewelry collection. Crafted from premium stainless steel and finished with radiant 18K gold plating, it features intricate crystal detailing and a brilliant heart-shaped stone that adds just the right amount of shine. Lightweight, durable, and anti-tarnish, this elegant piece is perfect for everyday wear or special occasions — a beautiful blend of grace and modern style.</p>",necklaces,necklaces,,,New,Luxereva,999,2599,,IN_STOCK,false,,,L1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d62afc26-a981-456a-b366-37eb21ffec11,MEDIA,,,,,,b10e01_8e5ed99c2c2f4c41a3f59a40e869b718~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d62afc26-a981-456a-b366-37eb21ffec11,MEDIA,,,,,,b10e01_bfcf717b7cd344f397b25577dd98c711~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_d62afc26-a981-456a-b366-37eb21ffec11,MEDIA,,,,,,b10e01_c774eabf15424332833e73061bb96c07~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7b21d6e2-cbf4-418c-b89d-ed137d5a6852,PRODUCT,Butterfly Charm Gold Necklace – 18K Gold Plated Stainless Steel,true,"<p>Playful yet elegant, this butterfly charm necklace is designed to add a whimsical touch to your everyday style. Featuring multiple delicate butterfly motifs paired with subtle crystal accents, it’s crafted from high-quality stainless steel and finished with radiant 18K gold plating. Lightweight, durable, and anti-tarnish, this piece offers effortless shine and charm — perfect for layering or wearing solo for a soft, feminine statement.</p>",necklaces,necklaces,,,,Luxereva,899,2999,,IN_STOCK,false,,,L1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7b21d6e2-cbf4-418c-b89d-ed137d5a6852,MEDIA,,,,,,b10e01_1eb6b5c2c56f404d8df2175184188bae~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
